Game Number,Match Length (minutes),Side,Team,Top,Top Champion,Jungle,Jungle Champion,Mid,Mid Champion,Bottom,Bottom Champion,Support,Support Champion,Total Team Kills,Total Team Gold (k),Towers,Inhibitors,Barons,Dragons,Heralds,Victory
13,37.65,Blue,GAM Esports,Kiaya,Camille,Levi,Graves,Kati,Viktor,Sty1e,Varus,Bie,Tahm Kench,5,62.7,4,0,1,2,0,0
13,37.65,Red,Rogue,Odoamne,Ornn,Malrang,Jarvan IV,Larssen,Orianna,Comp,Kalista,Trymbi,Soraka,14,70,7,1,1,4,2,1
14,29.5,Blue,100 Thieves,Ssumday,Aatrox,Closer,Poppy,Abbedagge,Taliyah,FBI,Miss Fortune,huhi,Leona,8,45.7,1,0,0,0,2,0
14,29.5,Red,Gen.G,Doran,Camille,Peanut,Trundle,Chovy,Azir,Ruler,Aphelios,Lehends,Renata Glasc,17,56.5,9,2,1,4,0,1
15,36.68,Blue,EDward Gaming,Flandre,Gragas,JieJie,Lee Sin,Scout,Viktor,Viper,Sivir,Meiko,Yuumi,19,68.6,10,2,2,2,0,1
15,36.68,Red,Fnatic,Wunder,Ornn,Razork,Poppy,Humanoid,Azir,Upset,Kalista,Hylissang,Renata Glasc,9,59.2,5,0,0,2,2,0
16,25.0,Blue,Cloud9,Fudge,Jax,Blaber,Poppy,Jensen,Azir,Berserker,Tristana,Zven,Leona,3,36.7,0,0,0,0,0,0
16,25.0,Red,T1,Zeus,Aatrox,Oner,Viego,Faker,Lissandra,Gumayusi,Kai'Sa,Keria,Alistar,18,53.8,11,3,1,2,2,1
17,29.4,Blue,RNG,Breathe,Fiora,Wei,Viego,Xiaohu,Lissandra,GALA,Aphelios,Ming,Sett,21,61.1,11,3,1,3,2,1
17,29.4,Red,CTBC Flying Oyster,Rest,Kennen,Gemini,Poppy,Mission,Viktor,Shunn,Tristana,Koala,Amumu,6,46.1,2,0,0,1,0,0
18,30.1,Blue,DRX,Kingen,Gnar,Pyosik,Graves,Zeka,Sylas,Deft,Caitlyn,BeryL,Braum,15,62.1,10,1,1,3,2,1
18,30.1,Red,Top Esports,Wayward,Jax,Tian,Vi,knight,Azir,JackeyLove,Draven,Mark,Nautilus,2,48.1,1,0,0,1,0,0
19,34.68,Blue,JD Gaming,369,Renekton,Kanavi,Viego,Yagao,Taliyah,Hope,Sivir,Missing,Yuumi,15,64.5,10,1,0,2,1,1
19,34.68,Red,G2 Esports,BrokenBlade,Darius,Jankos,Graves,caPs,Sylas,Flakked,Seraphine,Targamas,Alistar,15,62.1,4,0,1,2,1,0
20,33.63,Blue,Rogue,Odoamne,Maokai,Malrang,Lee Sin,Larssen,Viktor,Comp,Kalista,Trymbi,Rakan,18,64.9,9,1,2,2,1,1
20,33.63,Red,Top Esports,Wayward,Gnar,Tian,Trundle,knight,Azir,JackeyLove,Varus,Mark,Leona,6,54.4,5,1,0,2,1,0
21,29.48,Blue,DWG KIA,Nuguri,Jayce,Canyon,Lee Sin,ShowMaker,Azir,deokdam,Aphelios,Kellin,Renata Glasc,12,52.2,7,1,0,4,1,1
21,29.48,Red,Evil Geniuses,Impact,Sejuani,Inspired,Hecarim,jojopyun,Sylas,Kaori,Ezreal,Vulcan,Bard,8,47.5,2,0,0,1,0,0
22,26.93,Blue,100 Thieves,Ssumday,Aatrox,Closer,Viego,Abbedagge,Taliyah,FBI,Aphelios,huhi,Leona,4,42.9,3,0,0,0,2,0
22,26.93,Red,RNG,Breathe,Jax,Wei,Graves,Xiaohu,Akali,GALA,Kai'Sa,Ming,Amumu,17,54.9,8,1,1,4,0,1
23,39.35,Blue,Gen.G,Doran,Sejuani,Peanut,Hecarim,Chovy,Ahri,Ruler,Caitlyn,Lehends,Lux,25,75.8,7,1,1,4,1,1
23,39.35,Red,CTBC Flying Oyster,Rest,Renekton,Gemini,Lee Sin,Mission,Syndra,Shunn,Kalista,Koala,Pyke,10,68,4,0,1,1,1,0
24,23.45,Blue,GAM Esports,Kiaya,Jax,Levi,Graves,Kati,Taliyah,Sty1e,Kai'Sa,Bie,Leona,6,37.8,0,0,0,1,0,0
24,23.45,Red,DRX,Kingen,Ornn,Pyosik,Kindred,Zeka,Sylas,Deft,Tristana,BeryL,Rell,15,47,7,1,1,1,2,1
