Game Number,Match Length (minutes),Side,Team,Top,Top Champion,Jungle,Jungle Champion,Mid,Mid Champion,Bottom,Bottom Champion,Support,Support Champion,Total Team Kills,Total Team Gold (k),Towers,Inhibitors,Barons,Dragons,Heralds,Victory
37,30.7,Blue,Rogue,Odoamne,Gnar,Malrang,Jarvan IV,Larssen,Azir,Comp,Lucian,Trymbi,Nami,19,62.2,10,2,1,3,1,1
37,30.7,Red,GAM Esports,Kiaya,Renekton,Levi,Graves,Kati,Galio,Sty1e,Kalista,Bie,Sett,9,49.5,2,0,0,2,1,0
38,41.53,Blue,GAM Esports,Kiaya,Ornn,Levi,Karthus,Kati,Sett,Sty1e,Kalista,Bie,Renata Glasc,21,72.7,7,1,0,4,2,1
38,41.53,Red,Top Esports,Wayward,Renekton,Tian,Graves,knight,Ahri,JackeyLove,Lucian,Mark,Nami,17,76.9,8,1,1,2,0,0
39,30.25,Blue,DRX,Kingen,Aatrox,Pyosik,Vi,Zeka,Akali,Deft,Ashe,BeryL,Heimerdinger,20,63.7,10,2,1,4,2,1
39,30.25,Red,Rogue,Odoamne,Rumble,Malrang,Jarvan IV,Larssen,Azir,Comp,Kalista,Trymbi,Nasus,4,47.6,1,0,0,0,0,0
40,31.52,Blue,DRX,Kingen,Aatrox,Pyosik,Viego,Zeka,Sylas,Deft,Ashe,BeryL,Heimerdinger,19,65.5,11,3,2,1,2,1
40,31.52,Red,GAM Esports,Kiaya,Fiora,Levi,Jarvan IV,Kati,Anivia,Sty1e,Kalista,Bie,Syndra,7,49.2,1,0,0,3,0,0
41,24.87,Blue,Top Esports,Wayward,Aatrox,Tian,Lee Sin,knight,Akali,JackeyLove,Draven,Mark,Blitzcrank,19,53.7,8,1,1,3,2,1
41,24.87,Red,Rogue,Odoamne,Gnar,Malrang,Vi,Larssen,Sylas,Comp,Caitlyn,Trymbi,Lux,8,39.4,1,0,0,0,0,0
42,34.13,Blue,Top Esports,Wayward,Ornn,Tian,Viego,knight,Sylas,JackeyLove,Lucian,Mark,Nami,15,64.8,9,2,2,4,0,1
42,34.13,Red,DRX,Kingen,Maokai,Pyosik,Graves,Zeka,Azir,Deft,Miss Fortune,BeryL,Lulu,3,54.7,3,0,0,0,2,0
43,31.67,Blue,100 Thieves,Ssumday,Sejuani,Closer,Bel'Veth,Abbedagge,Azir,FBI,Kalista,huhi,Amumu,20,61.6,10,3,1,4,2,1
43,31.67,Red,CTBC Flying Oyster,Rest,Gnar,Gemini,Jarvan IV,Mission,Viktor,Shunn,Caitlyn,Koala,Lux,4,50.9,3,0,0,0,0,0
44,26.17,Blue,CTBC Flying Oyster,Rest,Renekton,Gemini,Maokai,Mission,Syndra,Shunn,Varus,Koala,Leona,7,41.6,2,0,0,0,0,0
44,26.17,Red,Gen.G,Doran,Gragas,Peanut,Graves,Chovy,Akali,Ruler,Lucian,Lehends,Nami,21,55.8,7,1,1,3,2,1
45,39.33,Blue,RNG,Breathe,Fiora,Wei,Vi,Xiaohu,Akali,GALA,Sivir,Ming,Yuumi,16,72.5,8,1,0,2,1,1
45,39.33,Red,100 Thieves,Ssumday,Renekton,Closer,Jarvan IV,Abbedagge,Viktor,FBI,Senna,huhi,Seraphine,10,70.2,5,0,1,3,1,0
46,25.18,Blue,Gen.G,Doran,Maokai,Peanut,Graves,Chovy,Sylas,Ruler,Lucian,Lehends,Nami,13,54.8,10,2,1,3,2,1
46,25.18,Red,100 Thieves,Ssumday,Sejuani,Closer,Viego,Abbedagge,Viktor,FBI,Aphelios,huhi,Lulu,2,36,0,0,0,0,0,0
47,31.78,Blue,CTBC Flying Oyster,Rest,Aatrox,Gemini,Viego,Mission,Azir,Atlen,Draven,Koala,Amumu,5,53.1,2,0,0,1,0,0
47,31.78,Red,RNG,Breathe,Jax,Wei,Vi,Xiaohu,Ahri,GALA,Lucian,Ming,Nami,22,67.6,11,3,2,4,2,1
48,27.33,Blue,RNG,Breathe,Gangplank,Wei,Maokai,Xiaohu,Akali,GALA,Tristana,Ming,Blitzcrank,6,45.1,3,0,0,1,1,0
48,27.33,Red,Gen.G,Doran,Renekton,Peanut,Trundle,Chovy,Sylas,Ruler,Aphelios,Lehends,Renata Glasc,15,51.2,7,1,1,3,1,1
