Game Number,Match Length (minutes),Side,Team,Top,Top Champion,Jungle,Jungle Champion,Mid,Mid Champion,Bottom,Bottom Champion,Support,Support Champion,Total Team Kills,Total Team Gold (k),Towers,Inhibitors,Barons,Dragons,Heralds,Victory
49,34.07,Blue,JD Gaming,369,Aatrox,Kanavi,Vi,Yagao,Sylas,Hope,Kai'Sa,Missing,Nautilus,28,65.8,7,1,0,2,1,1
49,34.07,Red,DWG KIA,Nuguri,Irelia,Canyon,Maokai,ShowMaker,LeBlanc,deokdam,Aphelios,Kellin,Leona,17,59.2,4,0,1,2,1,0
50,24.78,Blue,DRX,Kingen,Camille,Pyosik,Vi,Zeka,Sylas,Deft,Caitlyn,BeryL,Lux,16,49.8,8,1,1,1,2,1
50,24.78,Red,Rogue,Odoamne,Gnar,Malrang,Lee Sin,Larssen,LeBlanc,Comp,Ezreal,Trymbi,Karma,5,39.6,1,0,0,1,0,0
51,24.23,Blue,Gen.G,Doran,Camille,Peanut,Vi,Chovy,Sylas,Ruler,Aphelios,Lehends,Lulu,20,50.8,8,1,1,2,0,1
51,24.23,Red,RNG,Breathe,Sejuani,Wei,Viego,Xiaohu,Galio,GALA,Lucian,Ming,Nami,2,37.2,2,0,0,2,2,0
